-3333,0x8019,GTX EEPROM TEMPLATE,0x20201001,履歴情報
0,4,2000/1/1 0:00,3,白ヘッド1使用開始日[0]
1,4,2000/1/1 0:00,3,白ヘッド1使用開始日[1]
2,4,2000/1/1 0:00,3,白ヘッド1使用開始日[2]
3,4,2000/1/1 0:00,3,白ヘッド1使用開始日[3]
4,4,2000/1/1 0:00,3,白ヘッド1使用開始日[4]
5,4,2000/1/1 0:00,3,白ヘッド1使用開始日[5]
6,4,2000/1/1 0:00,3,白ヘッド1使用開始日[6]
7,4,2000/1/1 0:00,3,白ヘッド1使用開始日[7]
8,1,0,0,白ヘッド1NO[0]{0]
9,1,0,0,白ヘッド1NO[0]{1]
10,1,0,0,白ヘッド1NO[0]{2]
11,1,0,0,白ヘッド1NO[0]{3]
12,1,0,0,白ヘッド1NO[0]{4]
13,1,0,0,白ヘッド1NO[0]{5]
14,1,0,0,白ヘッド1NO[0]{6]
15,1,0,0,白ヘッド1NO[0]{7]
16,1,0,0,白ヘッド1NO[1]{0]
17,1,0,0,白ヘッド1NO[1]{1]
18,1,0,0,白ヘッド1NO[1]{2]
19,1,0,0,白ヘッド1NO[1]{3]
20,1,0,0,白ヘッド1NO[1]{4]
21,1,0,0,白ヘッド1NO[1]{5]
22,1,0,0,白ヘッド1NO[1]{6]
23,1,0,0,白ヘッド1NO[1]{7]
24,1,0,0,白ヘッド1NO[2]{0]
25,1,0,0,白ヘッド1NO[2]{1]
26,1,0,0,白ヘッド1NO[2]{2]
27,1,0,0,白ヘッド1NO[2]{3]
28,1,0,0,白ヘッド1NO[2]{4]
29,1,0,0,白ヘッド1NO[2]{5]
30,1,0,0,白ヘッド1NO[2]{6]
31,1,0,0,白ヘッド1NO[2]{7]
32,1,0,0,白ヘッド1NO[3]{0]
33,1,0,0,白ヘッド1NO[3]{1]
34,1,0,0,白ヘッド1NO[3]{2]
35,1,0,0,白ヘッド1NO[3]{3]
36,1,0,0,白ヘッド1NO[3]{4]
37,1,0,0,白ヘッド1NO[3]{5]
38,1,0,0,白ヘッド1NO[3]{6]
39,1,0,0,白ヘッド1NO[3]{7]
40,1,0,0,白ヘッド1NO[4]{0]
41,1,0,0,白ヘッド1NO[4]{1]
42,1,0,0,白ヘッド1NO[4]{2]
43,1,0,0,白ヘッド1NO[4]{3]
44,1,0,0,白ヘッド1NO[4]{4]
45,1,0,0,白ヘッド1NO[4]{5]
46,1,0,0,白ヘッド1NO[4]{6]
47,1,0,0,白ヘッド1NO[4]{7]
48,1,0,0,白ヘッド1NO[5]{0]
49,1,0,0,白ヘッド1NO[5]{1]
50,1,0,0,白ヘッド1NO[5]{2]
51,1,0,0,白ヘッド1NO[5]{3]
52,1,0,0,白ヘッド1NO[5]{4]
53,1,0,0,白ヘッド1NO[5]{5]
54,1,0,0,白ヘッド1NO[5]{6]
55,1,0,0,白ヘッド1NO[5]{7]
56,1,0,0,白ヘッド1NO[6]{0]
57,1,0,0,白ヘッド1NO[6]{1]
58,1,0,0,白ヘッド1NO[6]{2]
59,1,0,0,白ヘッド1NO[6]{3]
60,1,0,0,白ヘッド1NO[6]{4]
61,1,0,0,白ヘッド1NO[6]{5]
62,1,0,0,白ヘッド1NO[6]{6]
63,1,0,0,白ヘッド1NO[6]{7]
64,1,0,0,白ヘッド1NO[7]{0]
65,1,0,0,白ヘッド1NO[7]{1]
66,1,0,0,白ヘッド1NO[7]{2]
67,1,0,0,白ヘッド1NO[7]{3]
68,1,0,0,白ヘッド1NO[7]{4]
69,1,0,0,白ヘッド1NO[7]{5]
70,1,0,0,白ヘッド1NO[7]{6]
71,1,0,0,白ヘッド1NO[7]{7]
72,4,0,2,白ヘッド1印刷枚数[0]
73,4,0,2,白ヘッド1印刷枚数[1]
74,4,0,2,白ヘッド1印刷枚数[2]
75,4,0,2,白ヘッド1印刷枚数[3]
76,4,0,2,白ヘッド1印刷枚数[4]
77,4,0,2,白ヘッド1印刷枚数[5]
78,4,0,2,白ヘッド1印刷枚数[6]
79,4,0,2,白ヘッド1印刷枚数[7]
80,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[0]
81,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[1]
82,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[2]
83,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[3]
84,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[4]
85,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[5]
86,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[6]
87,4,2000/1/1 0:00,3,白ヘッド1最終更新日時[7]
88,4,2000/1/1 0:00,3,白ヘッド2使用開始日[0]
89,4,2000/1/1 0:00,3,白ヘッド2使用開始日[1]
90,4,2000/1/1 0:00,3,白ヘッド2使用開始日[2]
91,4,2000/1/1 0:00,3,白ヘッド2使用開始日[3]
92,4,2000/1/1 0:00,3,白ヘッド2使用開始日[4]
93,4,2000/1/1 0:00,3,白ヘッド2使用開始日[5]
94,4,2000/1/1 0:00,3,白ヘッド2使用開始日[6]
95,4,2000/1/1 0:00,3,白ヘッド2使用開始日[7]
96,1,0,0,白ヘッド2NO[0]{0]
97,1,0,0,白ヘッド2NO[0]{1]
98,1,0,0,白ヘッド2NO[0]{2]
99,1,0,0,白ヘッド2NO[0]{3]
100,1,0,0,白ヘッド2NO[0]{4]
101,1,0,0,白ヘッド2NO[0]{5]
102,1,0,0,白ヘッド2NO[0]{6]
103,1,0,0,白ヘッド2NO[0]{7]
104,1,0,0,白ヘッド2NO[1]{0]
105,1,0,0,白ヘッド2NO[1]{1]
106,1,0,0,白ヘッド2NO[1]{2]
107,1,0,0,白ヘッド2NO[1]{3]
108,1,0,0,白ヘッド2NO[1]{4]
109,1,0,0,白ヘッド2NO[1]{5]
110,1,0,0,白ヘッド2NO[1]{6]
111,1,0,0,白ヘッド2NO[1]{7]
112,1,0,0,白ヘッド2NO[2]{0]
113,1,0,0,白ヘッド2NO[2]{1]
114,1,0,0,白ヘッド2NO[2]{2]
115,1,0,0,白ヘッド2NO[2]{3]
116,1,0,0,白ヘッド2NO[2]{4]
117,1,0,0,白ヘッド2NO[2]{5]
118,1,0,0,白ヘッド2NO[2]{6]
119,1,0,0,白ヘッド2NO[2]{7]
120,1,0,0,白ヘッド2NO[3]{0]
121,1,0,0,白ヘッド2NO[3]{1]
122,1,0,0,白ヘッド2NO[3]{2]
123,1,0,0,白ヘッド2NO[3]{3]
124,1,0,0,白ヘッド2NO[3]{4]
125,1,0,0,白ヘッド2NO[3]{5]
126,1,0,0,白ヘッド2NO[3]{6]
127,1,0,0,白ヘッド2NO[3]{7]
128,1,0,0,白ヘッド2NO[4]{0]
129,1,0,0,白ヘッド2NO[4]{1]
130,1,0,0,白ヘッド2NO[4]{2]
131,1,0,0,白ヘッド2NO[4]{3]
132,1,0,0,白ヘッド2NO[4]{4]
133,1,0,0,白ヘッド2NO[4]{5]
134,1,0,0,白ヘッド2NO[4]{6]
135,1,0,0,白ヘッド2NO[4]{7]
136,1,0,0,白ヘッド2NO[5]{0]
137,1,0,0,白ヘッド2NO[5]{1]
138,1,0,0,白ヘッド2NO[5]{2]
139,1,0,0,白ヘッド2NO[5]{3]
140,1,0,0,白ヘッド2NO[5]{4]
141,1,0,0,白ヘッド2NO[5]{5]
142,1,0,0,白ヘッド2NO[5]{6]
143,1,0,0,白ヘッド2NO[5]{7]
144,1,0,0,白ヘッド2NO[6]{0]
145,1,0,0,白ヘッド2NO[6]{1]
146,1,0,0,白ヘッド2NO[6]{2]
147,1,0,0,白ヘッド2NO[6]{3]
148,1,0,0,白ヘッド2NO[6]{4]
149,1,0,0,白ヘッド2NO[6]{5]
150,1,0,0,白ヘッド2NO[6]{6]
151,1,0,0,白ヘッド2NO[6]{7]
152,1,0,0,白ヘッド2NO[7]{0]
153,1,0,0,白ヘッド2NO[7]{1]
154,1,0,0,白ヘッド2NO[7]{2]
155,1,0,0,白ヘッド2NO[7]{3]
156,1,0,0,白ヘッド2NO[7]{4]
157,1,0,0,白ヘッド2NO[7]{5]
158,1,0,0,白ヘッド2NO[7]{6]
159,1,0,0,白ヘッド2NO[7]{7]
160,4,0,2,白ヘッド2印刷枚数[0]
161,4,0,2,白ヘッド2印刷枚数[1]
162,4,0,2,白ヘッド2印刷枚数[2]
163,4,0,2,白ヘッド2印刷枚数[3]
164,4,0,2,白ヘッド2印刷枚数[4]
165,4,0,2,白ヘッド2印刷枚数[5]
166,4,0,2,白ヘッド2印刷枚数[6]
167,4,0,2,白ヘッド2印刷枚数[7]
168,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[0]
169,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[1]
170,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[2]
171,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[3]
172,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[4]
173,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[5]
174,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[6]
175,4,2000/1/1 0:00,3,白ヘッド2最終更新日時[7]
176,4,2000/1/1 0:00,3,カラーヘッド1使用開始日[0]
177,4,2000/1/1 0:00,3,カラーヘッド1使用開始日[1]
178,4,2000/1/1 0:00,3,カラーヘッド1使用開始日[2]
179,4,2000/1/1 0:00,3,カラーヘッド1使用開始日[3]
180,1,0,0,カラーヘッド1NO[0]{0]
181,1,0,0,カラーヘッド1NO[0]{1]
182,1,0,0,カラーヘッド1NO[0]{2]
183,1,0,0,カラーヘッド1NO[0]{3]
184,1,0,0,カラーヘッド1NO[0]{4]
185,1,0,0,カラーヘッド1NO[0]{5]
186,1,0,0,カラーヘッド1NO[0]{6]
187,1,0,0,カラーヘッド1NO[0]{7]
188,1,0,0,カラーヘッド1NO[1]{0]
189,1,0,0,カラーヘッド1NO[1]{1]
190,1,0,0,カラーヘッド1NO[1]{2]
191,1,0,0,カラーヘッド1NO[1]{3]
192,1,0,0,カラーヘッド1NO[1]{4]
193,1,0,0,カラーヘッド1NO[1]{5]
194,1,0,0,カラーヘッド1NO[1]{6]
195,1,0,0,カラーヘッド1NO[1]{7]
196,1,0,0,カラーヘッド1NO[2]{0]
197,1,0,0,カラーヘッド1NO[2]{1]
198,1,0,0,カラーヘッド1NO[2]{2]
199,1,0,0,カラーヘッド1NO[2]{3]
200,1,0,0,カラーヘッド1NO[2]{4]
201,1,0,0,カラーヘッド1NO[2]{5]
202,1,0,0,カラーヘッド1NO[2]{6]
203,1,0,0,カラーヘッド1NO[2]{7]
204,1,0,0,カラーヘッド1NO[3]{0]
205,1,0,0,カラーヘッド1NO[3]{1]
206,1,0,0,カラーヘッド1NO[3]{2]
207,1,0,0,カラーヘッド1NO[3]{3]
208,1,0,0,カラーヘッド1NO[3]{4]
209,1,0,0,カラーヘッド1NO[3]{5]
210,1,0,0,カラーヘッド1NO[3]{6]
211,1,0,0,カラーヘッド1NO[3]{7]
212,4,0,2,カラーヘッド1印刷枚数[0]
213,4,0,2,カラーヘッド1印刷枚数[1]
214,4,0,2,カラーヘッド1印刷枚数[2]
215,4,0,2,カラーヘッド1印刷枚数[3]
216,4,2000/1/1 0:00,3,カラーヘッド1最終更新日時[0]
217,4,2000/1/1 0:00,3,カラーヘッド1最終更新日時[1]
218,4,2000/1/1 0:00,3,カラーヘッド1最終更新日時[2]
219,4,2000/1/1 0:00,3,カラーヘッド1最終更新日時[3]
220,4,2000/1/1 0:00,3,カラーヘッド2使用開始日[0]
221,4,2000/1/1 0:00,3,カラーヘッド2使用開始日[1]
222,4,2000/1/1 0:00,3,カラーヘッド2使用開始日[2]
223,4,2000/1/1 0:00,3,カラーヘッド2使用開始日[3]
224,1,0,0,カラーヘッド2NO[0]{0]
225,1,0,0,カラーヘッド2NO[0]{1]
226,1,0,0,カラーヘッド2NO[0]{2]
227,1,0,0,カラーヘッド2NO[0]{3]
228,1,0,0,カラーヘッド2NO[0]{4]
229,1,0,0,カラーヘッド2NO[0]{5]
230,1,0,0,カラーヘッド2NO[0]{6]
231,1,0,0,カラーヘッド2NO[0]{7]
232,1,0,0,カラーヘッド2NO[1]{0]
233,1,0,0,カラーヘッド2NO[1]{1]
234,1,0,0,カラーヘッド2NO[1]{2]
235,1,0,0,カラーヘッド2NO[1]{3]
236,1,0,0,カラーヘッド2NO[1]{4]
237,1,0,0,カラーヘッド2NO[1]{5]
238,1,0,0,カラーヘッド2NO[1]{6]
239,1,0,0,カラーヘッド2NO[1]{7]
240,1,0,0,カラーヘッド2NO[2]{0]
241,1,0,0,カラーヘッド2NO[2]{1]
242,1,0,0,カラーヘッド2NO[2]{2]
243,1,0,0,カラーヘッド2NO[2]{3]
244,1,0,0,カラーヘッド2NO[2]{4]
245,1,0,0,カラーヘッド2NO[2]{5]
246,1,0,0,カラーヘッド2NO[2]{6]
247,1,0,0,カラーヘッド2NO[2]{7]
248,1,0,0,カラーヘッド2NO[3]{0]
249,1,0,0,カラーヘッド2NO[3]{1]
250,1,0,0,カラーヘッド2NO[3]{2]
251,1,0,0,カラーヘッド2NO[3]{3]
252,1,0,0,カラーヘッド2NO[3]{4]
253,1,0,0,カラーヘッド2NO[3]{5]
254,1,0,0,カラーヘッド2NO[3]{6]
255,1,0,0,カラーヘッド2NO[3]{7]
256,4,0,2,カラーヘッド2印刷枚数[0]
257,4,0,2,カラーヘッド2印刷枚数[1]
258,4,0,2,カラーヘッド2印刷枚数[2]
259,4,0,2,カラーヘッド2印刷枚数[3]
260,4,2000/1/1 0:00,3,カラーヘッド2最終更新日時[0]
261,4,2000/1/1 0:00,3,カラーヘッド2最終更新日時[1]
262,4,2000/1/1 0:00,3,カラーヘッド2最終更新日時[2]
263,4,2000/1/1 0:00,3,カラーヘッド2最終更新日時[3]
264,4,2000/1/1 0:00,3,特色ヘッド1使用開始日[0]
265,4,2000/1/1 0:00,3,特色ヘッド1使用開始日[1]
266,4,2000/1/1 0:00,3,特色ヘッド1使用開始日[2]
267,4,2000/1/1 0:00,3,特色ヘッド1使用開始日[3]
268,1,0,0,特色ヘッド1NO[0]{0]
269,1,0,0,特色ヘッド1NO[0]{1]
270,1,0,0,特色ヘッド1NO[0]{2]
271,1,0,0,特色ヘッド1NO[0]{3]
272,1,0,0,特色ヘッド1NO[0]{4]
273,1,0,0,特色ヘッド1NO[0]{5]
274,1,0,0,特色ヘッド1NO[0]{6]
275,1,0,0,特色ヘッド1NO[0]{7]
276,1,0,0,特色ヘッド1NO[1]{0]
277,1,0,0,特色ヘッド1NO[1]{1]
278,1,0,0,特色ヘッド1NO[1]{2]
279,1,0,0,特色ヘッド1NO[1]{3]
280,1,0,0,特色ヘッド1NO[1]{4]
281,1,0,0,特色ヘッド1NO[1]{5]
282,1,0,0,特色ヘッド1NO[1]{6]
283,1,0,0,特色ヘッド1NO[1]{7]
284,1,0,0,特色ヘッド1NO[2]{0]
285,1,0,0,特色ヘッド1NO[2]{1]
286,1,0,0,特色ヘッド1NO[2]{2]
287,1,0,0,特色ヘッド1NO[2]{3]
288,1,0,0,特色ヘッド1NO[2]{4]
289,1,0,0,特色ヘッド1NO[2]{5]
290,1,0,0,特色ヘッド1NO[2]{6]
291,1,0,0,特色ヘッド1NO[2]{7]
292,1,0,0,特色ヘッド1NO[3]{0]
293,1,0,0,特色ヘッド1NO[3]{1]
294,1,0,0,特色ヘッド1NO[3]{2]
295,1,0,0,特色ヘッド1NO[3]{3]
296,1,0,0,特色ヘッド1NO[3]{4]
297,1,0,0,特色ヘッド1NO[3]{5]
298,1,0,0,特色ヘッド1NO[3]{6]
299,1,0,0,特色ヘッド1NO[3]{7]
300,4,0,2,特色ヘッド1印刷枚数[0]
301,4,0,2,特色ヘッド1印刷枚数[1]
302,4,0,2,特色ヘッド1印刷枚数[2]
303,4,0,2,特色ヘッド1印刷枚数[3]
304,4,2000/1/1 0:00,3,特色ヘッド1最終更新日時[0]
305,4,2000/1/1 0:00,3,特色ヘッド1最終更新日時[1]
306,4,2000/1/1 0:00,3,特色ヘッド1最終更新日時[2]
307,4,2000/1/1 0:00,3,特色ヘッド1最終更新日時[3]
308,4,2000/1/1 0:00,3,特色ヘッド2使用開始日[0]
309,4,2000/1/1 0:00,3,特色ヘッド2使用開始日[1]
310,4,2000/1/1 0:00,3,特色ヘッド2使用開始日[2]
311,4,2000/1/1 0:00,3,特色ヘッド2使用開始日[3]
312,1,0,0,特色ヘッド2NO[0]{0]
313,1,0,0,特色ヘッド2NO[0]{1]
314,1,0,0,特色ヘッド2NO[0]{2]
315,1,0,0,特色ヘッド2NO[0]{3]
316,1,0,0,特色ヘッド2NO[0]{4]
317,1,0,0,特色ヘッド2NO[0]{5]
318,1,0,0,特色ヘッド2NO[0]{6]
319,1,0,0,特色ヘッド2NO[0]{7]
320,1,0,0,特色ヘッド2NO[1]{0]
321,1,0,0,特色ヘッド2NO[1]{1]
322,1,0,0,特色ヘッド2NO[1]{2]
323,1,0,0,特色ヘッド2NO[1]{3]
324,1,0,0,特色ヘッド2NO[1]{4]
325,1,0,0,特色ヘッド2NO[1]{5]
326,1,0,0,特色ヘッド2NO[1]{6]
327,1,0,0,特色ヘッド2NO[1]{7]
328,1,0,0,特色ヘッド2NO[2]{0]
329,1,0,0,特色ヘッド2NO[2]{1]
330,1,0,0,特色ヘッド2NO[2]{2]
331,1,0,0,特色ヘッド2NO[2]{3]
332,1,0,0,特色ヘッド2NO[2]{4]
333,1,0,0,特色ヘッド2NO[2]{5]
334,1,0,0,特色ヘッド2NO[2]{6]
335,1,0,0,特色ヘッド2NO[2]{7]
336,1,0,0,特色ヘッド2NO[3]{0]
337,1,0,0,特色ヘッド2NO[3]{1]
338,1,0,0,特色ヘッド2NO[3]{2]
339,1,0,0,特色ヘッド2NO[3]{3]
340,1,0,0,特色ヘッド2NO[3]{4]
341,1,0,0,特色ヘッド2NO[3]{5]
342,1,0,0,特色ヘッド2NO[3]{6]
343,1,0,0,特色ヘッド2NO[3]{7]
344,4,0,2,特色ヘッド2印刷枚数[0]
345,4,0,2,特色ヘッド2印刷枚数[1]
346,4,0,2,特色ヘッド2印刷枚数[2]
347,4,0,2,特色ヘッド2印刷枚数[3]
348,4,2000/1/1 0:00,3,特色ヘッド2最終更新日時[0]
349,4,2000/1/1 0:00,3,特色ヘッド2最終更新日時[1]
350,4,2000/1/1 0:00,3,特色ヘッド2最終更新日時[2]
351,4,2000/1/1 0:00,3,特色ヘッド2最終更新日時[3]
352,1,0,1,カラーカレントセット0
353,1,0,1,カラーカレントセット1
354,1,0,1,白カレントセット0
355,1,0,1,白カレントセット1
356,1,0,1,特色カレントセット0
357,1,0,1,特色カレントセット1
358,1,0,1,ucReserve01[0]
359,1,0,1,ucReserve01[1]
360,4,0,1,白ヘッド1[0]色問わず印刷枚数
361,4,0,1,白ヘッド1[1]色問わず印刷枚数
362,4,0,1,白ヘッド1[2]色問わず印刷枚数
363,4,0,1,白ヘッド1[3]色問わず印刷枚数
364,4,0,1,白ヘッド1[4]色問わず印刷枚数
365,4,0,1,白ヘッド1[5]色問わず印刷枚数
366,4,0,1,白ヘッド1[6]色問わず印刷枚数
367,4,0,1,白ヘッド1[7]色問わず印刷枚数
368,4,0,1,白ヘッド2[0]色問わず印刷枚数
369,4,0,1,白ヘッド2[1]色問わず印刷枚数
370,4,0,1,白ヘッド2[2]色問わず印刷枚数
371,4,0,1,白ヘッド2[3]色問わず印刷枚数
372,4,0,1,白ヘッド2[4]色問わず印刷枚数
373,4,0,1,白ヘッド2[5]色問わず印刷枚数
374,4,0,1,白ヘッド2[6]色問わず印刷枚数
375,4,0,1,白ヘッド2[7]色問わず印刷枚数
376,4,0,1,カラー ヘッド1[0]色問わず印刷枚数
377,4,0,1,カラー ヘッド1[1]色問わず印刷枚数
378,4,0,1,カラー ヘッド1[2]色問わず印刷枚数
379,4,0,1,カラー ヘッド1[3]色問わず印刷枚数
380,4,0,1,カラー ヘッド2[0]色問わず印刷枚数
381,4,0,1,カラー ヘッド2[1]色問わず印刷枚数
382,4,0,1,カラー ヘッド2[2]色問わず印刷枚数
383,4,0,1,カラー ヘッド2[3]色問わず印刷枚数
384,4,0,1,特色ヘッド1[0]色問わず印刷枚数
385,4,0,1,特色 ヘッド1[1]色問わず印刷枚数
386,4,0,1,特色ヘッド1[2]色問わず印刷枚数
387,4,0,1,特色 ヘッド1[3]色問わず印刷枚数
388,4,0,1,特色 ヘッド2[0]色問わず印刷枚数
389,4,0,1,特色ヘッド2[1]色問わず印刷枚数
390,4,0,1,特色 ヘッド2[2]色問わず印刷枚数
391,4,0,1,特色 ヘッド2[3]色問わず印刷枚数
392,4,0,1,ulReserveEnd[0]
393,4,0,1,ulReserveEnd[1]
394,4,0,1,ulReserveEnd[2]
395,4,0,1,ulReserveEnd[3]
396,4,0,1,ulReserveEnd[4]
397,4,0,1,ulReserveEnd[5]
398,4,0,1,ulReserveEnd[6]
399,4,0,1,ulReserveEnd[7]
400,4,0,1,ulReserveEnd[8]
401,4,0,1,ulReserveEnd[9]
402,4,0,1,ulReserveEnd[10]
403,4,0,1,ulReserveEnd[11]
404,4,0,1,ulReserveEnd[12]
405,4,0,1,ulReserveEnd[13]
406,4,0,1,ulReserveEnd[14]
407,4,0,1,ulReserveEnd[15]
408,4,0,1,ulReserveEnd[16]
409,4,0,1,ulReserveEnd[17]
410,4,0,1,ulReserveEnd[18]
411,4,0,1,ulReserveEnd[19]
412,4,0,1,ulReserveEnd[20]
413,4,0,1,ulReserveEnd[21]
414,4,0,1,ulReserveEnd[22]
415,4,0,1,ulReserveEnd[23]
416,4,0,1,ulReserveEnd[24]
417,4,0,1,ulReserveEnd[25]
418,4,0,1,ulReserveEnd[26]
419,4,0,1,ulReserveEnd[27]
420,4,0,1,ulReserveEnd[28]
421,4,0,1,ulReserveEnd[29]
422,4,0,1,ulReserveEnd[30]
423,4,0,1,ulReserveEnd[31]
424,4,0,1,ulReserveEnd[32]
425,4,0,1,ulReserveEnd[33]
426,4,0,1,ulReserveEnd[34]
427,4,0,1,ulReserveEnd[35]
428,4,0,1,ulReserveEnd[36]
429,4,0,1,ulReserveEnd[37]
430,4,0,1,ulReserveEnd[38]
431,4,0,1,ulReserveEnd[39]
