-3333,0x8011,GTX EEPROM TEMPLATE,0x20201001,設定値
0,4,200,1,LCD バックライト
1,4,3,2,音量
2,4,0,1,表示言語
3,4,0,1,温度表示単位(0:華氏 / 1:摂氏)
4,4,0,2,ジョブ削除モード
5,4,6,2,片方向印字フラグ（0:両方向 2:片方向(forward) 4:片方向(Backward) 6:印刷データ内の設定に従う）
6,4,24,2,オートパージ実行間隔(印刷枚数)
7,4,21,2,印刷中フラッシング頻度
8,4,11,2,オートパージ設定
9,4,2,1,印字前フラッシング吐出量(1:少なめ / 2:標準 / 3:多め)
10,4,0,2,印字中CRを動かす前のディレイ。0=デフォルト / 0未満=ディレイなし / 1以上=指定値[ms] 
11,4,4,2,ログ記録レベル
12,4,0,1,GT-341モード(0:白休止モードoff / 1:白休止モードon)
13,1,1,1,流路切替ソレノイドの配管パターン  [0]:旧流路  [1]:新流路
14,1,1,1,定期パージ時のパージ種別 [0]:洗浄パージ [1]:ノーマルパージ [2]:パワフルパージ
15,1,0,1,循環ポンプのギヤの新旧タイプ [0]:新型（商品試作）  [1]：旧型（機能試作）
16,1,0,1,朝メンテ（標準）設定[0]:ラストは洗浄NP [1]：ラストは洗浄PP
17,1,0,1,朝メンテ（強力）設定[0]:ラストは洗浄NP [1]：ラストは洗浄PP
18,1,0,1,0: IPアドレスを手動で設定 / 1:IPアドレスを自動取得
19,1,3,1,スモール吸引後のキャップ開空吸引 ucSmallKyuinOpenKyuin
20,1,0,1,スモール吸引後のキャップ閉空吸引 ucSmallKyuinCloseKyuin
21,1,0,1,IPアドレス[0]
22,1,0,1,IPアドレス[1]
23,1,0,1,IPアドレス[2]
24,1,0,1,IPアドレス[3]
25,4,0,0,サブネットマスク値
26,1,0,1,デフォルトゲートウェイ[0]
27,1,0,1,デフォルトゲートウェイ[1]
28,1,0,1,デフォルトゲートウェイ[2]
29,1,0,1,デフォルトゲートウェイ[3]
30,4,1,2,受信中印刷無効フラグ(0:有効 / 1:無効)
31,4,0,1,自動画面消去時間 0;自動消去しない 1:５分 2:１０分 3:１５分 4:３０分
32,4,336,1,白印刷をするときに使用するノズル数
33,4,1,1,CMYKのサブタンクに自動充填するかどうかのフラグ(0:しない 1:する)
34,4,1,1,インクカートリッジの有り無しセンサーのチェックを 0：しない 1：する
35,1,1,1,オートパージ開始時期 0:印刷前 / 1:印刷後
36,1,0,1,メニュータイムアウト時間設定 0:１分 / 1:３分 / 2:５分
37,1,0,1,低温時の印刷設定　0:有効、1:無効
38,1,0,1,プレビュー描画方向　0:上向き、1:下向き
39,1,0,1,ファイル名表示設定　0:ファイル名を優先的に表示する / 1:ジョブネームを優先的に表示する
40,1,0,1,印刷待機を有効にする
41,1,0,1,テクニカル保守点検アラーム表示設定　0:仕向地による 1:表示する 2:表示しない
42,1,0,1,自動マルチパス設定 ( 0:通常 / 1:多め / 2:少なめ / 3:常にON / 4:常にOFF)
43,1,0,1,メンテナンスをともなう周期動作停止
44,1,0,1,"0: 定期循環禁止機能off, 1:定期循環禁止機能on"
45,1,0,1,0: オートクリーニング禁止機能off 1:オートクリーニング禁止機能on
46,1,0,1,"0パネルロック機能 Disable, 1: Enable, 2:パスコード入力で解除可条件付でEnable"
47,1,0,1,"0: 印刷ボタン禁止機能off, 1: 印刷ボタン禁止機能on"
48,1,0,1,"シアンよれ対策強化設定 0:通常モード, 1:強化モード"
49,1,0,1,"印刷中障害物検知 0:通常モード, 1:印刷中障害物検知なしモード"
50,1,0,1,重ね合わせ部分を薄くするためのマスクのテーブル番号
51,4,604800,1,スモール排気パージの実行間隔（単位：秒）
52,1,0,1,"ベルトピッチ補正パターンのLF量の選択（0: 1064/1200inch, 1:336/1200inch, 2:840/1200inch）"
53,1,0,1,"ベルトピッチパターンの印刷方向(0:RVS, 1:FWD)"
54,1,0,1,温度、湿度確認用　(0:確認しない、以外:周期で確認)
55,1,0,1,洗浄液タンク確認用(0:確認しない、以外:周期で確認)
56,1,4,1,サブタンク充填タイム 0=ブラック
57,1,4,1,サブタンク充填タイム 1=イエロー
58,1,6,1,サブタンク充填タイム 2=シアン
59,1,6,1,サブタンク充填タイム 3=マゼンタ
60,1,0,1,白マスクパターン　0: 従来 1: 改良
61,1,1,1,白の部分マルチパス印刷(0:しない　1:する)
62,1,0,1,CRの速度チェックしない(0:チェックする / 1:チェックしない)
63,1,0,1,0：しない　1：Nexiv用の1本線　2：CRの往復の着弾ずれ用の2本線　3：カラーは全部打つ　4：部分マルチパス以外をクリア
64,4,0,1,サブタンク送液するインク使用量 (0.01cc)
65,2,0xcfcf,0,白の部分マルチパス印刷用の1-84ピン用のマスク値(例 0xcfcf)
66,1,0,1,ucReserve02[0]
67,1,0,1,ucReserve02[1]
68,4,0,1,印刷耐久待機時間
69,4,0,1,印刷耐久の最大印刷枚数 0=枚数制限なしで印刷、以外=セットされた数だけ印刷する
70,1,84,1,カラーの336ピン以降で部分マルチパス印刷させるノズル数(0-84)
71,1,0,1,1200dpi 白カラーのノーマル印刷のインターレースパターン
72,1,0,1,1200dpi カラーのみノーマル印刷のインターレースパターン
73,1,0,1,カラーの部分マルチパス印刷時のグラデーション機能　 0:無効 1:有効
74,2,0,1,印刷中ワイプ/フラッシング判定用 白吐出量 Low
75,2,0,1,印刷中ワイプ/フラッシング判定用 白吐出量 Middle
76,2,0,1,印刷中ワイプ/フラッシング判定用 白吐出量 High
77,2,0,1,印刷中フラッシング時にワイプする 湿度 
78,2,0,1,印刷中フラッシング時にワイプする スキャン数
79,1,0,1,印刷前ワイプ (0:デフォルト / 1:OFF / 2:ON)
80,1,0,1,印刷後ワイプ (0:デフォルト / 1:OFF / 2:ON)
81,1,0,1,定期部品交換・清掃エラー、ワーニング検知 0:有効、以外：無効
82,1,0,1,ログを実際にフラッシュROMに書き込むか 0:書かない 1:書く 
83,1,0,2,偏心測定パターンの印刷方向指定 0:RVS->FWD  1:FWD->RVS  2:RVS->RVS
84,1,0,2,加湿器イオン除去フィルター 0:使用しない / 1:使用する
85,2,0,1,印刷前 非吐出フラッシング 発数
86,2,0,1,印刷前 非吐出フラッシング 回数
87,2,0,1,印刷前 非吐出フラッシング wait 時間
88,2,0,1,定期循環時のモータ起動速度([pps] W1/W234共通)
89,2,0,1,定期循環時のモータ運転速度([pps] W1/W234共通)
90,2,0,1,定期循環する秒数([sec] W1/W234共通)
91,4,0,1,定期循環の間隔（正常終了時）
92,4,0,1,定期循環の間隔（キャンセル終了時）
93,1,0,1,印刷後、ヘッド接液する温度
94,1,0,1,1:フラッシングの吐出量をカウントしない(印刷デバッグ用)
95,1,0,1,1:ヘッドエラーにしない(デバッグ用)
96,1,1,1,プラテンのクリアランスセンサーの種別(0: ソレノイド&光学センサー 1:　光電センサー)
97,4,300,1,ヘッド温度異常、12枚印刷後接液時間
98,4,0,1,白タンク撹拌間隔
99,4,0,1,最後の印刷から終業パージを実行するまでの時間間隔（単位：秒）
100,1,0,1,ショートカットボタンの設定 0:ノーマルクリーニング、1:オートクリーニング、2:印刷データ読み込み、3:白インク循環
101,1,0,1,低湿時の印刷設定　0:印刷する、1:印刷しない、2:毎日選択する
102,1,0,1,0: プラテン低過ぎセンサーを使わない、1:使う
103,1,0,1,循環後に自動でオートパージを入れる　0:無効、1:印刷後30分以内、2:印刷後1時間以内、3:印刷後1時間30分以内
104,4,2000,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[0]
105,4,3000,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[1]
106,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[2]
107,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[3]
108,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[4]
109,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[5]
110,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[6]
111,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[7]
112,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[8]
113,4,0,2,プラテン高さのユーザー設定位置（Aポジションからのパルス数）[9]
114,1,0,1,ICスティック有効　0:有効、1:無効
115,1,0,1,ログエリアは未初期化、1:ログエリアは初期化済み
116,1,0,1,ネットワークフィルタリング　0:無効、1:有効
117,1,0,1,待機画面アイコン設定 0:オートクリーニングアイコン 1:プラテンの高さアイコン 2:印刷データ情報アイコン 3:循環スケジュールアイコン
118,4,0,1,ulReserveEnd[0]
119,4,0,1,ulReserveEnd[1]
120,4,0,1,ulReserveEnd[2]
121,4,0,1,ulReserveEnd[3]
122,4,0,1,ulReserveEnd[4]
123,4,0,1,ulReserveEnd[5]
124,4,0,1,ulReserveEnd[6]
125,4,0,1,ulReserveEnd[7]
126,4,0,1,ulReserveEnd[8]
127,4,0,1,ulReserveEnd[9]
128,4,0,1,ulReserveEnd[10]
129,4,0,1,ulReserveEnd[11]
130,4,0,1,ulReserveEnd[12]
131,4,0,1,ulReserveEnd[13]
132,4,0,1,ulReserveEnd[14]
133,4,0,1,ulReserveEnd[15]
134,4,0,1,ulReserveEnd[16]
135,4,0,1,ulReserveEnd[17]
136,4,0,1,ulReserveEnd[18]
137,4,0,1,ulReserveEnd[19]
138,4,0,1,ulReserveEnd[20]
139,4,0,1,ulReserveEnd[21]
140,4,0,1,ulReserveEnd[22]
141,4,0,1,ulReserveEnd[23]
142,4,0,1,ulReserveEnd[24]
143,4,0,1,ulReserveEnd[25]
144,4,0,1,ulReserveEnd[26]
145,4,0,1,ulReserveEnd[27]
146,4,0,1,ulReserveEnd[28]
147,4,0,1,ulReserveEnd[29]
148,4,0,1,ulReserveEnd[30]
149,4,0,1,ulReserveEnd[31]
150,4,0,1,ulReserveEnd[32]
151,4,0,1,ulReserveEnd[33]
152,4,0,1,ulReserveEnd[34]
153,4,0,1,ulReserveEnd[35]
154,4,0,1,ulReserveEnd[36]
155,4,0,1,ulReserveEnd[37]
156,4,0,1,ulReserveEnd[38]
157,4,0,1,ulReserveEnd[39]
158,4,0,1,ulReserveEnd[40]
159,4,0,1,ulReserveEnd[41]
160,4,0,1,ulReserveEnd[42]
161,4,0,1,ulReserveEnd[43]
162,4,0,1,ulReserveEnd[44]
163,4,0,1,ulReserveEnd[45]
164,4,0,1,ulReserveEnd[46]
165,4,0,1,ulReserveEnd[47]
166,4,0,1,ulReserveEnd[48]
167,4,0,1,ulReserveEnd[49]
168,4,0,1,ulReserveEnd[50]
169,4,0,1,ulReserveEnd[51]
170,4,0,1,ulReserveEnd[52]
171,4,0,1,ulReserveEnd[53]
172,4,0,1,ulReserveEnd[54]
173,4,0,1,ulReserveEnd[55]
174,4,0,1,ulReserveEnd[56]
175,4,0,1,ulReserveEnd[57]
176,4,0,1,ulReserveEnd[58]
177,4,0,1,ulReserveEnd[59]
178,4,0,1,ulReserveEnd[60]
179,4,0,1,ulReserveEnd[61]
180,4,0,1,ulReserveEnd[62]
181,4,0,1,ulReserveEnd[63]
182,4,0,1,ulReserveEnd[64]
183,4,0,1,ulReserveEnd[65]
184,4,0,1,ulReserveEnd[66]
185,4,0,1,ulReserveEnd[67]
186,4,0,1,ulReserveEnd[68]
187,4,0,1,ulReserveEnd[69]
188,4,0,1,ulReserveEnd[70]
189,4,0,1,ulReserveEnd[71]
190,4,0,1,ulReserveEnd[72]
191,4,0,1,ulReserveEnd[73]
192,4,0,1,ulReserveEnd[74]
193,4,0,1,ulReserveEnd[75]
194,4,0,1,ulReserveEnd[76]
195,4,0,1,ulReserveEnd[77]
196,4,0,1,ulReserveEnd[78]
197,4,0,1,ulReserveEnd[79]
198,4,0,1,ulReserveEnd[80]
199,4,0,1,ulReserveEnd[81]
200,4,0,1,ulReserveEnd[82]
201,4,0,1,ulReserveEnd[83]
202,4,0,1,ulReserveEnd[84]
203,4,0,1,ulReserveEnd[85]
204,4,0,1,ulReserveEnd[86]
205,4,0,1,ulReserveEnd[87]
206,4,0,1,ulReserveEnd[88]
207,4,0,1,ulReserveEnd[89]
208,4,0,1,ulReserveEnd[90]
209,4,0,1,ulReserveEnd[91]
210,4,0,1,ulReserveEnd[92]
211,4,0,1,ulReserveEnd[93]
212,4,0,1,ulReserveEnd[94]
213,4,0,1,ulReserveEnd[95]
214,4,0,1,ulReserveEnd[96]
215,4,0,1,ulReserveEnd[97]
216,4,0,1,ulReserveEnd[98]
217,4,0,1,ulReserveEnd[99]
218,4,0,1,ulReserveEnd[100]
219,4,0,1,ulReserveEnd[101]
220,4,0,1,ulReserveEnd[102]
221,4,0,1,ulReserveEnd[103]
222,4,0,1,ulReserveEnd[104]
223,4,0,1,ulReserveEnd[105]
224,4,0,1,ulReserveEnd[106]
225,4,0,1,ulReserveEnd[107]
226,4,0,1,ulReserveEnd[108]
227,4,0,1,ulReserveEnd[109]
228,4,0,1,ulReserveEnd[110]
229,4,0,1,ulReserveEnd[111]
230,4,0,1,ulReserveEnd[112]
231,4,0,1,ulReserveEnd[113]
232,4,0,1,ulReserveEnd[114]
233,4,0,1,ulReserveEnd[115]
234,4,0,1,ulReserveEnd[116]
235,4,0,1,ulReserveEnd[117]
236,4,0,1,ulReserveEnd[118]
237,4,0,1,ulReserveEnd[119]
238,4,0,1,ulReserveEnd[120]
239,4,0,1,ulReserveEnd[121]
240,4,0,1,ulReserveEnd[122]
241,4,0,1,ulReserveEnd[123]
242,4,0,1,ulReserveEnd[124]
243,4,0,1,ulReserveEnd[125]
244,4,0,1,ulReserveEnd[126]
245,4,0,1,ulReserveEnd[127]
246,4,0,1,ulReserveEnd[128]
247,4,0,1,ulReserveEnd[129]
248,4,0,1,ulReserveEnd[130]
249,4,0,1,ulReserveEnd[131]
250,4,0,1,ulReserveEnd[132]
251,4,0,1,ulReserveEnd[133]
252,4,0,1,ulReserveEnd[134]
253,4,0,1,ulReserveEnd[135]
254,4,0,1,ulReserveEnd[136]
255,4,0,1,ulReserveEnd[137]
256,4,0,1,ulReserveEnd[138]
257,4,0,1,ulReserveEnd[139]
258,4,0,1,ulReserveEnd[140]
259,4,0,1,ulReserveEnd[141]
260,4,0,1,ulReserveEnd[142]
261,4,0,1,ulReserveEnd[143]
262,4,0,1,ulReserveEnd[144]
263,4,0,1,ulReserveEnd[145]
264,4,0,1,ulReserveEnd[146]
265,4,0,1,ulReserveEnd[147]
266,4,0,1,ulReserveEnd[148]
267,4,0,1,ulReserveEnd[149]
268,4,0,1,ulReserveEnd[150]
269,4,0,1,ulReserveEnd[151]
270,4,0,1,ulReserveEnd[152]
271,4,0,1,ulReserveEnd[153]
272,4,0,1,ulReserveEnd[154]
273,4,0,1,ulReserveEnd[155]
274,4,0,1,ulReserveEnd[156]
275,4,0,1,ulReserveEnd[157]
276,4,0,1,ulReserveEnd[158]
277,4,0,1,ulReserveEnd[159]
278,4,0,1,ulReserveEnd[160]
279,4,0,1,ulReserveEnd[161]
280,4,0,1,ulReserveEnd[162]
281,4,0,1,ulReserveEnd[163]
282,4,0,1,ulReserveEnd[164]
283,4,0,1,ulReserveEnd[165]
284,4,0,1,ulReserveEnd[166]
285,4,0,1,ulReserveEnd[167]
286,4,0,1,ulReserveEnd[168]
287,4,0,1,ulReserveEnd[169]
288,4,0,1,ulReserveEnd[170]
289,4,0,1,ulReserveEnd[171]
290,4,0,1,ulReserveEnd[172]
